source,ren10_id,wbez_ids,wbez_idn,gci_id,ncessch,selectiveenrollment,charter,closed,turn,other,build_close,C_T,action_yr,multaction,newschool,newschool_yr,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Grades at Capacity,ES,HS,schnam_first,address,city,state
ren10,28,155,1138,,,,1,1,0,,0,1,2013,,1,2005,,,,,,,1,1,1,1,1,1,1,1,1,9-12,,1,DuSable Leadership Academy of Betty Shabazz International Charter School,4934 SOUTH WABASH AV,CHICAGO,IL
NCES,,,1622,,170993006088,,1,0,,,,,,,1,2009,,,,,,,,,,,1,1,1,1,1,9-12,,1,EPIC ACADEMY HIGH SCHOOL,8255 SOUTH HOUSTON AV,CHICAGO,IL
ren10,31,,1626,,170993005978,,1,0,0,,,0,,,1,2008,,,,,,,,,,1,1,1,1,1,1,9-12,,1,Henry Ford Academy: Power House High Charter School,931 SOUTH HOMAN AV,CHICAGO,IL
NCES,,,1644,,170993006103,,1,0,,,,,2011 (relocate),,1,2010,,,,,,,,,,,,1,,,,9-12,,1,IHSCA CHARTER HIGH SCHOOL,122 SOUTH MICHIGAN AV,CHICAGO,IL
NCES,,,1644,,170993006103,,1,0,,,,,,,1,2011,,,,,,,,,,,,,1,1,1,9-12,,1,IHSCA CHARTER HIGH SCHOOL,2520 SOUTH WESTERN AV,CHICAGO,IL
NCES,,,1645,,170993006238,,1,0,,,,,,,1,2012,,,,,,,,,,,,,,1,1,9-12,,1,IJLA CHARTER HIGH SCHOOL,2570 SOUTH BLUE ISLAND AV,CHICAGO,IL
NCES,,,1646,,170993006293,,1,0,,,,,,,1,2013,,,,,,,,,,,,,,,1,9-12,,1,INTRINSIC CHARTER HIGH SCHOOL,17 NORTH STATE ST,CHICAGO,IL
NCES,,,1654,,170993006241,,1,0,,,,,,,1,2012,,,,,,,,,,,,,,1,1,9-12,,1,LEGAL PREP ACADEMY HIGH SCHOOL,1901 WEST CARROLL AV,CHICAGO,IL
ren10,38,,1671,,170993003479,,1,,,,,,,,1,1999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9-12,,1,Noble Street Charter School,1010 NORTH NOBLE ST,CHICAGO,IL
ren10,40,,,,,,1,,,,,,,,1,2009,,,,,,,,,,,1,1,1,1,1,9-12,,1,Noble Street Charter School - Chicago Bulls College Prep Campus,2040 WEST ADAMS ST,CHICAGO,IL
ren10,41,,,,,,1,,,,,,,,1,2007,,,,,,,,,1,1,1,1,1,1,1,9-12,,1,Noble Street Charter School - Golder College Prep,1454 WEST SUPERIOR S,CHICAGO,IL
ren10,42,,,,,,1,,,,,,,,1,2009,,,,,,,,,,,1,1,1,1,1,9-12,,1,Noble Street Charter School - Muchin (Loop) Campus,1 NORTH STATE ST,CHICAGO,IL
ren10,44,,,,,,1,,,,,,,,1,2006,,,,,,,,1,1,1,1,1,1,1,1,9-12,,1,Noble Street Charter School - Pritzker College Prep,4131 WEST CORTLAND ST,CHICAGO,IL
ren10,45,,,,,,1,,,,,,,,1,2006,,,,,,,,1,1,1,1,1,1,1,1,9-12,,1,Noble Street Charter School - Rauner College Prep,1337 WEST OHIO ST,CHICAGO,IL
ren10,46,,,,,,1,,,,,,,,1,2007,,,,,,,,,1,1,1,1,1,1,1,9-12,,1,Noble Street Charter School - Rowe-Clark Math and Science Academy,3645 WEST CHICAGO AV,CHICAGO,IL
ren10,47,,,,,,1,,,,,,,,1,2008,,,,,,,,,,1,1,1,1,1,1,9-12,,1,Noble Street Charter School - UIC College Prep,1231 SOUTH DAMEN AV,CHICAGO,IL
ren10,48,,,,,,1,,,,,,,,1,2008,,,,,,,,,,1,1,1,1,1,1,9-12,,1,Noble Street Charter School Gary G. Comer College Prep,7200 SOUTH INGLESIDE AV,CHICAGO,IL
ren10,49,,,,,,1,,,,,,,,1,1998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9-12,,1,North Lawndale College Prep Charter School - Christiana Campus,1615 SOUTH CHRISTIANA AV,CHICAGO,IL
ren10,50,,,,170993003474,,1,,,,,,,,1,2007,,,,,,,,,1,1,1,1,1,1,1,9-12,,1,North Lawndale College Prep Charter School - Collins Campus,1313 SOUTH SACRAMENTO DR,CHICAGO,IL
ren10,53,,,,,,1,,,,,,,,1,2007,,,,,,,,,1,1,1,1,1,1,1,9-12,,1,Perspectives Charter School - Calumet High School of Technology,8131 SOUTH MAY ST,CHICAGO,IL
NCES,,,1690,,170993006113,,1,1,,,,,2011,,1,2010,,,,,,,,,,,,1,,,,9-12,,1,PROLOGUE - JOHNSTON FINE ARTS HIGH SCHOOL,1060 EAST 47TH ST,CHICAGO,IL
