source,ren10_id,wbez_ids,wbez_idn,gci_id,ncessch,selectiveenrollment,charter,closed,turn,other,build_close,C_T,action_yr,multaction,newschool,newschool_yr,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Grades at Capacity,ES,HS,schnam_first,address,city,state
NCES,,,1663,,170993006221,,1,1,,,,,2013,,1,2012,,,,,,,,,,,,,,1,,PK-3,1,,MONTESSORI OF ENGLEWOOD ELEMENTARY CHARTER,7033 SOUTH HONORE ST,CHICAGO,IL
NCES,,,1663,,170993006221,,1,0,,,,,,,1,2013,,,,,,,,,,,,,,,1,PK-3,1,,MONTESSORI OF ENGLEWOOD ELEMENTARY CHARTER,6550 SOUTH SEELEY AV,CHICAGO,IL
NCES,,,1632,,170993004274,,1,1,,,,1,2004,,1,2001,,,1,1,1,,,,,,,,,,,PK-7,1,,GLOBAL VILLAGE ELEMENTARY CHARTER,1447 WEST MONTROSE AV,CHICAGO,IL
NCES,,,1628,,170993006306,,1,0,,,,,,,1,2013,,,,,,,,,,,,,,,1,PK-8,1,,FRAZIER PREP ACADEMY CHARTER ELEMENTARY SCHOOL,4027 WEST GRENSHAW ST,CHICAGO,IL
ren10,51,,1681,,170993005682,,1,,,,,,,,1,2001,,,1,1,1,1,1,1,1,1,1,1,1,1,1,PreK-5,1,,Passages Charter School,1643 WEST BRYN MAWR AV,CHICAGO,IL
ren10,60,,,,,,1,,,,,,,,1,2005,,,,,,,1,1,1,1,1,1,1,1,1,PreK-5,1,,University of Chicago Charter School - Donoghue Campus,707 EAST 37TH ST,CHICAGO,IL
ren10,61,,,,,,1,,,,,,,,1,1998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,PreK-5,1,,University of Chicago Charter School - North Kenwood/Oakland (NKO) Campus,1119 EAST 46TH ST,CHICAGO,IL
ren10,10,,1582,,170993005889,,1,,,,,,,,1,2006,,,,,,,,1,1,1,1,1,1,1,1,PreK-8,1,,Bronzeville Lighthouse Charter School,8 W ROOT ST,CHICAGO,IL
ren10,14,,,,,,1,,,,,,,,1,2002,,,,1,1,1,1,1,1,1,1,1,1,1,1,PreK-8,1,,Chicago International Charter School - Basil Campus,1816 WEST GARFIELD BLVD,CHICAGO,IL
ren10,34,,,,,,1,,,,,,,,1,2009,,,,,,,,,,,1,1,1,1,1,PreK-8,1,,L.E.A.R.N. Charter School - North Lawndale,3415 WEST ARTHINGTON ST,CHICAGO,IL
ren10,35,,1652,,170993004270,,1,,,,,,,,1,2001,,,1,1,1,1,1,1,1,1,1,1,1,1,1,PreK-8,1,,L.E.A.R.N. Charter School - Romano Butler Campus,1132 SOUTH HOMAN AV,CHICAGO,IL
ren10,36,,1653,,170993005799,,1,,,,,,,,1,2005,,,,,,,1,1,1,1,1,1,1,1,1,PreK-8,1,,Legacy Charter School,4217 WEST 18TH ST,CHICAGO,IL
