source,wbez_ids,wbez_idn,gci_id,ncessch,selectiveenrollment,charter,closed,turn,other,build_close,C_T,multaction,newschool,schnam_first,schnam_last,schnam_action,address_first,address_last,address_action,city,state,lzip_action,address_full,tract2000_nces,tract2010_nces,newschool_yr,action_yr,open98,open99,open00,open01,open02,open03,open04,open05,open06,open07,open08,open09,open10,open11,open12,open13,type_all
NCES,,,,170993001018,0,0,0,0,0,0,0,0,0,VAUGHN OCCUPATIONAL HIGH SCHOOL,VAUGHN OCCUPATIONAL HIGH SCHOOL,VAUGHN OCCUPATIONAL HIGH SCHOOL,4355 NORTH LINDER AV,4355 NORTH LINDER AV,4355 NORTH LINDER AV,CHICAGO,IL,60641,"4355 NORTH LINDER AVE, CHICAGO, IL 60641",1503,1503,,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,HS
NCES,,,495,170993000888,0,0,0,0,0,0,0,0,0,POE ELEMENTARY CLASSICAL SCHOOL,POE ELEMENTARY CLASSICAL SCHOOL,POE ELEMENTARY CLASSICAL SCHOOL,10538 SOUTH LANGLEY AV,10538 SOUTH LANGLEY AV,10538 SOUTH LANGLEY AV,CHICAGO,IL,60628,"10538 SOUTH LANGLEY AVE, CHICAGO, IL 60628",5002,5002,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,634,170993001614,0,0,0,0,0,0,0,0,0,WELLS PREPARATORY ELEMENTARY SCHOOL,WELLS PREPARATORY ELEMENTARY ACADEMY,WELLS PREPARATORY ELEMENTARY ACADEMY,244 EAST PERSHING RD,249 EAST 37TH ST,249 EAST 37TH ST,CHICAGO,IL,60653,"249 EAST 37TH ST, CHICAGO, IL 60653",3513,8396,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,404,170993000957,0,0,0,0,0,0,0,0,0,MCDADE ELEMENTARY CLASSICAL SCHOOL,MCDADE ELEMENTARY CLASSICAL SCHOOL,MCDADE ELEMENTARY CLASSICAL SCHOOL,8801 SOUTH INDIANA AV,8801 SOUTH INDIANA AV,8801 SOUTH INDIANA AV,CHICAGO,IL,60619,"8801 SOUTH INDIANA AVE, CHICAGO, IL 60619",4406,4406,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,,170993001076,0,0,0,0,0,0,0,0,0,RAY GRAHAM TRAINING CENTER,GRAHAM R TRAINING CENTER,GRAHAM  R TRAINING CENTER,2347 SOUTH WABASH AV,2347 SOUTH WABASH AV,2347 SOUTH WABASH AV,CHICAGO,IL,60616,"2347 SOUTH WABASH AVE, CHICAGO, IL 60616",3304,8410,,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,HS
NCES,,,263,170993001980,0,0,0,0,0,0,0,0,0,HANCOCK HIGH SCHOOL,HANCOCK COLLEGE PREPARATORY HIGH SCHOOL,HANCOCK COLLEGE PREPARATORY HIGH SCHOOL,1819 WEST PERSHING RD,4034 WEST 56TH ST,4034 WEST 56TH ST,CHICAGO,IL,60629,"4034 WEST 56TH ST, CHICAGO, IL 60629",6203,6203,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,HS
NCES,,,173,170993000859,0,0,0,0,0,0,0,0,0,EARHART ELEMENTARY OPT FOR KNOWL SCHOOL,EARHART ELEMENTARY OPT FOR KNOWL SCHOOL,EARHART ELEMENTARY OPT FOR KNOWL SCHOOL,1710 EAST 93RD ST,1710 EAST 93RD ST,1710 EAST 93RD ST,CHICAGO,IL,60617,"1710 EAST 93RD ST, CHICAGO, IL 60617",4804,4804,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,,170993000999,0,0,0,0,0,0,0,0,0,NORTHSIDE LEARNING CENTER,NORTHSIDE LEARNING CENTER,NORTHSIDE LEARNING CENTER,3730 WEST BRYN MAWR AV,3730 WEST BRYN MAWR AV,3730 WEST BRYN MAWR AV,CHICAGO,IL,60659,"3730 WEST BRYN MAWR AVE, CHICAGO, IL 60659",1301,1301,,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,HS
NCES,,,,170993005305,0,0,0,0,0,0,0,0,0,SOUTHSIDE OCCUPATIONAL ACADEMY HIGH SCHOOL,SOUTHSIDE OCCUPATIONAL ACADEMY HIGH SCHOOL,SOUTHSIDE OCCUPATIONAL ACADEMY HIGH SCHOOL,7342 SOUTH HOYNE AV,7342 SOUTH HOYNE AV,7342 SOUTH HOYNE AV,CHICAGO,IL,60636,"7342 SOUTH HOYNE AVE, CHICAGO, IL 60636",6720,6720,,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,HS
NCES,,,405,170993000839,0,0,0,0,0,0,0,0,0,MCDOWELL ELEMENTARY SCHOOL,MCDOWELL ELEMENTARY SCHOOL,MCDOWELL ELEMENTARY SCHOOL,1419 EAST 89TH ST,1419 EAST 89TH ST,1419 EAST 89TH ST,CHICAGO,IL,60619,"1419 EAST 89TH ST, CHICAGO, IL 60619",4803,4803,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
