source,wbez_ids,wbez_idn,gci_id,ncessch,selectiveenrollment,charter,closed,turn,other,build_close,C_T,multaction,newschool,schnam_first,schnam_last,schnam_action,address_first,address_last,address_action,city,state,lzip_action,address_full,tract2000_nces,tract2010_nces,newschool_yr,action_yr,open98,open99,open00,open01,open02,open03,open04,open05,open06,open07,open08,open09,open10,open11,open12,open13,type_all
NCES,,,463,170993001010,0,0,0,0,0,0,0,0,0,ORIOLE PARK ELEMENTARY SCHOOL,ORIOLE PARK ELEMENTARY SCHOOL,ORIOLE PARK ELEMENTARY SCHOOL,5424 NORTH OKETO AV,5424 NORTH OKETO AV,5424 NORTH OKETO AV,CHICAGO,IL,60656,"5424 NORTH OKETO AVE, CHICAGO, IL 60656",1005,1005,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,498,170993001040,0,0,0,0,0,0,0,0,0,PRESCOTT ELEMENTARY SCHOOL,PRESCOTT ELEMENTARY SCHOOL,PRESCOTT ELEMENTARY SCHOOL,1632 WEST WRIGHTWOOD AV,1632 WEST WRIGHTWOOD AV,1632 WEST WRIGHTWOOD AV,CHICAGO,IL,60614,"1632 WEST WRIGHTWOOD AVE, CHICAGO, IL 60614",707,707,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,556,170993001094,0,0,0,0,0,0,0,0,0,SHOESMITH ELEMENTARY SCHOOL,SHOESMITH ELEMENTARY SCHOOL,SHOESMITH ELEMENTARY SCHOOL,1330 EAST 50TH ST,1330 EAST 50TH ST,1330 EAST 50TH ST,CHICAGO,IL,60615,"1330 EAST 50TH ST, CHICAGO, IL 60615",3906,3906,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,36,170993000585,0,0,0,0,0,0,0,0,0,BARNARD ELEMENTARY COMP MATH & SCI CENTER,BARNARD ELEMENTARY COMP MATH & SCI CENTER,BARNARD ELEMENTARY COMP MATH & SCI CENTER,10354 SOUTH CHARLES ST,10354 SOUTH CHARLES ST,10354 SOUTH CHARLES ST,CHICAGO,IL,60643,"10354 SOUTH CHARLES ST, CHICAGO, IL 60643",7207,7207,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,193,170993005489,0,0,0,0,0,0,0,0,0,EVERGREEN ACADEMY ELEMENTARY SCHOOL,EVERGREEN ACADEMY ELEMENTARY SCHOOL,EVERGREEN ACADEMY ELEMENTARY SCHOOL,3737 SOUTH PAULINA ST,3537 SOUTH PAULINA ST,3537 SOUTH PAULINA ST,CHICAGO,IL,60609,"3537 SOUTH PAULINA ST, CHICAGO, IL 60609",5907,5907,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,608,170993000628,1,0,0,0,0,0,0,0,0,TURNER-DREW ELEMENTARY LANGUAGE ACADEMY,TURNER-DREW ELEMENTARY LANGUAGE ACADEMY,TURNER-DREW ELEMENTARY LANGUAGE ACADEMY,9300 SOUTH PRINCETON AV,9300 SOUTH PRINCETON AV,9300 SOUTH PRINCETON AV,CHICAGO,IL,60620,"9300 SOUTH PRINCETON AVE, CHICAGO, IL 60620",4902,8340,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,45,170993000603,0,0,0,0,0,0,0,0,0,BEIDLER ELEMENTARY SCHOOL,BEIDLER ELEMENTARY SCHOOL,BEIDLER ELEMENTARY SCHOOL,3151 WEST WALNUT ST,3151 WEST WALNUT ST,3151 WEST WALNUT ST,CHICAGO,IL,60612,"3151 WEST WALNUT ST, CHICAGO, IL 60612",2702,8371,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,162,170993000725,0,0,0,0,0,0,0,0,0,DORE ELEMENTARY SCHOOL,DORE ELEMENTARY SCHOOL,DORE ELEMENTARY SCHOOL,6108 SOUTH NATOMA AV,6108 SOUTH NATOMA AV,6108 SOUTH NATOMA AV,CHICAGO,IL,60638,"6108 SOUTH NATOMA AVE, CHICAGO, IL 60638",6404,6404,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,72,170993000622,0,0,0,0,0,0,0,0,0,BROWNELL ELEMENTARY SCHOOL,BROWNELL ELEMENTARY SCHOOL,BROWNELL ELEMENTARY SCHOOL,6741 SOUTH MICHIGAN AV,6741 SOUTH MICHIGAN AV,6741 SOUTH MICHIGAN AV,CHICAGO,IL,60637,"6741 SOUTH MICHIGAN AVE, CHICAGO, IL 60637",6904,6904,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,553,170993001087,0,0,0,0,0,0,0,0,0,SHERWOOD ELEMENTARY SCHOOL,SHERWOOD ELEMENTARY SCHOOL,SHERWOOD ELEMENTARY SCHOOL,245 WEST 57TH ST,245 WEST 57TH ST,245 WEST 57TH ST,CHICAGO,IL,60621,"245 WEST 57TH ST, CHICAGO, IL 60621",6802,8346,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
