source,wbez_ids,wbez_idn,gci_id,ncessch,selectiveenrollment,charter,closed,turn,other,build_close,C_T,multaction,newschool,schnam_first,schnam_last,schnam_action,address_first,address_last,address_action,city,state,lzip_action,address_full,tract2000_nces,tract2010_nces,newschool_yr,action_yr,open98,open99,open00,open01,open02,open03,open04,open05,open06,open07,open08,open09,open10,open11,open12,open13,type_all
NCES,,,,170993002027,0,0,1,0,0,0,1,0,0,HIGH SCHOOL TRANSITION CENTER H,DORSEY ACADEMY PREPARATION CENTER,DORSEY ACADEMY PREPARATION CENTER,9035 SOUTH LANGLEY AV,9035 SOUTH LANGLEY AV,9035 SOUTH LANGLEY AV,CHICAGO,IL,60619,"9035 SOUTH LANGLEY AVE, CHICAGO, IL 60619",4409,4409,,2001,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HS
NCES,,,,170993001986,0,0,1,0,0,0,1,0,0,HIGH SCHOOL TRANSITION CENTER C,OLIVE ACADEMY PREPARATION CENTER,OLIVE ACADEMY PREPARATION CENTER,4747 SOUTH UNION AV,5125 SOUTH PRINCETON AV,5125 SOUTH PRINCETON AV,CHICAGO,IL,60609,"5125 SOUTH PRINCETON AVE, CHICAGO, IL 60609",3704,8356,,2001,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HS
NCES,,,519,170993001058,0,0,1,0,0,0,1,0,0,RIIS ELEMENTARY SCHOOL,RIIS ELEMENTARY FULL SERVICE ACADEMY,RIIS ELEMENTARY FULL SERVICE ACADEMY,1018 SOUTH LYTLE ST,1018 SOUTH LYTLE ST,1018 SOUTH LYTLE ST,CHICAGO,IL,60607,"1018 SOUTH LYTLE ST, CHICAGO, IL 60607",2832,2832,,2001,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ES
NCES,,,,170993004959,0,0,1,0,0,0,1,0,0,DYETT MIDDLE SCHOOL,DYETT MIDDLE SCHOOL,DYETT MIDDLE SCHOOL,555 EAST 51ST ST,555 EAST 51ST ST,555 EAST 51ST ST,CHICAGO,IL,60615,"555 EAST 51ST ST, CHICAGO, IL 60615",4001,8361,,2001,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HS
NCES,,,,170993004963,0,0,1,0,0,0,1,0,0,PICCOLO MIDDLE SCHOOL,PICCOLO MIDDLE SCHOOL,PICCOLO MIDDLE SCHOOL,1040 NORTH KEELER AV,1040 NORTH KEELER AV,1040 NORTH KEELER AV,CHICAGO,IL,60651,"1040 NORTH KEELER AVE, CHICAGO, IL 60651",2313,8421,,2001,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MS
NCES,,,,170993000917,0,0,1,0,0,0,1,0,0,NEAR NORTH CAREER METROPOLITAN HIGH SCHOOL,NEAR NORTH CAREER METROPOLITAN HIGH SCHOOL,NEAR NORTH CAREER METROPOLITAN HIGH SCHOOL,1450 NORTH LARRABEE ST,1450 NORTH LARRABEE ST,1450 NORTH LARRABEE ST,CHICAGO,IL,60610,"1450 NORTH LARRABEE ST, CHICAGO, IL 60610",805,8422,,2001,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HS
NCES,,,,170993001605,0,0,1,0,0,0,1,0,0,GRAPHIC COMMUNICATION ARTS HIGH SCHOOL,FUTURE COMMONS TECHNICAL PREP HIGH SCHOOL,FUTURE COMMONS TECHNICAL PREP HIGH SCHOOL,4071 SOUTH LAKE PARK,4071 SOUTH LAKE PARK AV,4071 SOUTH LAKE PARK AV,CHICAGO,IL,60653,"4071 SOUTH LAKE PARK AVE, CHICAGO, IL 60653",3604,8364,,2002,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,HS
NCES,,,,170993001606,0,0,1,0,0,0,1,0,0,TEACHER PREPARATION HIGH SCHOOL,FUTURE COMMONS PROF PREPARATION H,FUTURE COMMONS PROF PREPARATION H,4071 SOUTH LAKE PARK,4071 SOUTH LAKE PARK AV,4071 SOUTH LAKE PARK AV,CHICAGO,IL,60653,"4071 SOUTH LAKE PARK AVE, CHICAGO, IL 60653",3604,8364,,2002,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,HS
NCES,1,,393,170993000713.1,0,0,0,1,0,0,1,1,0,DODGE ELEMENTARY SCHOOL,DODGE ELEMENTARY SCHOOL,DODGE ELEMENTARY SCHOOL,2651 WEST WASHINGTON BL,431 NORTH TROY ST,2651 WEST WASHINGTON BL,CHICAGO,IL,60612,"2651 WEST WASHINGTON BL, CHICAGO, IL 60612",2709,8374,,2002,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ES
NCES,3,,392,170993001121,0,0,1,0,0,0,1,1,0,TERRELL ELEMENTARY SCHOOL,TERRELL ELEMENTARY SCHOOL,TERRELL ELEMENTARY SCHOOL,5410 SOUTH STATE ST,5410 SOUTH STATE ST,5410 SOUTH STATE ST,CHICAGO,IL,60609,"5410 SOUTH STATE ST, CHICAGO, IL 60609",4002,8361,,2002,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ES
