dvm_edit,address_final,address_split?,subtotal,actual00,actual01,actual02,actual03,actual04,actual05,actual06,actual07,actual08,actual09,actual10,actual11,actual12,actual13,actual14,actual15,actual16,actual17,actual18
Ida B. Wells Homes,510-516 E 37th Pl,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,511 E Browning Av,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,511-521 E 38th Pl,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,512-520 E 38th St,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,512-520 E 39th St,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,515 E 37th Pl,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,515-521 E 37th St,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,518-524 E 37th Pl,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,520 E 38th Pl,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,521 E 38th St,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,522-530 E 39th St,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,523-529 E 37th St,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,523-531 E 38th Pl,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,526-530 E 37th Pl,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,526-534 E 38th St,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
