dvm_edit,address_final,address_split?,subtotal,actual00,actual01,actual02,actual03,actual04,actual05,actual06,actual07,actual08,actual09,actual10,actual11,actual12,actual13,actual14,actual15,actual16,actual17,actual18
Washington Park,4016-4018 S Prairie Av,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Park,4120 S Prairie Av,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Park,4120 S St Lawrence Av,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Park,4140 S Langley Av,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Park,4212 S Wabash Av,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Park,4216 S Wabash Av,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Park,4220 S Wabash Av,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Park,4224 S Wabash Av,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Park,4400-4402 S St Lawrence Av,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
Washington Park,4414 S Cottage Grove Av,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Park,4445 S Evans Av,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Park,4520-4522 S Champlain Av,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Park,4524-4526 S Champlain Av,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Park,4528-4530 S Champlain Av,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Park,560-562 E 40th St,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Park,600-602 E 40th St,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Park,606 E 40th St,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Park,6127-6141 S Calumet Av,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
Washington Park,6145-6159 S Calumet Av,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
Washington Park,6217 S Calumet Av,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0
Wentworth Gardens,234-250 W 39th St,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
Wentworth Gardens,235-251 W 37th St,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
Wentworth Gardens,246-250 W 38th St,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
Wentworth Gardens,3718-3728 S Wentworth Av,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Wentworth Gardens,3738-3742 & 3756-3760 S Wentworth Av,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Wentworth Gardens,3757-3767 S Princeton Av,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
Wentworth Gardens,3816-3820 & 3834-3838 S Wentworth Av,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Wentworth Gardens,3840-3850 S Wentworth Av,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
William Green Homes,1230 N Burling St,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0
William Green Homes,1230 N Larrabee St,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0
William Green Homes,1340 N Larrabee St,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0
William Green Homes,534 W Division St,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0
William Green Homes,624 W Division St,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0
William Green Homes,630 W Evergreen Av,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0
William Green Homes,660 W Division St,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0
William Green Homes,714 W Division St,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0
