source,ren10_id,wbez_ids,wbez_idn,gci_id,ncessch,selectiveenrollment,charter,closed,turn,other,build_close,C_T,action_yr,multaction,newschool,newschool_yr,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Grades at Capacity,ES,HS,schnam_first,address,city,state
NCES,,,1690,,170993006113,,1,0,,,,,,,1,2011,,,,,,,,,,,,,1,1,1,9-12,,1,PROLOGUE - JOHNSTON FINE ARTS HIGH SCHOOL,1551 WEST 95TH ST,CHICAGO,IL
ren10,63,,,,,,1,,,,,,,,1,2010,,,,,,,,,,,,1,1,1,1,9-12,,1,UNO Charter School - Academy High School Campus,954 WEST WASHINGTON BL,CHICAGO,IL
ren10,64,,,,,,1,,,,,,,,1,2008,,,,,,,,,,1,1,1,1,1,1,9-12,,1,UNO Charter School - Archer Heights Campus High School,4248 WEST 47TH ST,CHICAGO,IL
NCES,,,1726,,170993006094,,1,1,,,,,2011,,1,2009,,,,,,,,,,,1,1,,,,9-12,,1,URBAN PREP ACADEMY - E GARFIELD HIGH SCHOOL,2908 WEST WASHINGTON,CHICAGO,IL
NCES,,,1726,,170993006094,,1,0,,,,,,,1,2011,,,,,,,,,,,,,1,1,1,9-12,,1,URBAN PREP ACADEMY - E GARFIELD HIGH SCHOOL,1326 WEST 14TH PL,CHICAGO,IL
ren10,74,,1727,,170993005884,,1,,,,,,,,1,2006,,,,,,,,1,1,1,1,1,1,1,1,9-12,,1,Urban Prep Academy for Young Men Charter School - Englewood Campus,6201 SOUTH STEWART AV,CHICAGO,IL
NCES,,,1728,,170993006132,,1,0,,,,,,,1,2012,,,,,,,,,,,,,,1,1,9-12,,1,URBAN PREP CHTR ACADEMY BRONZEVILLE HIGH SCHOOL,2710 SOUTH DEARBORN ST,CHICAGO,IL
NCES,,,1728,,170993006132,,1,1,,,,,2012,,1,2010,,,,,,,,,,,,1,1,,,9-12,,1,URBAN PREP CHTR SOUTH SHORE HIGH SCHOOL,4217 WEST 18TH ST,CHICAGO,IL
ren10,26,,,,,,1,,,,,,,,1,2006,,,,,,,,1,1,1,1,1,1,1,1,K-12,1,1,Chicago Virtual Charter School,38 SOUTH PEORIA ST,CHICAGO,IL
ren10,18,,,,,,1,,,,,,,,1,2008,,,,,,,,,,1,1,1,1,1,1,K-2,1,,Chicago International Charter School - Loomis Primary Academy,9535 SOUTH LOOMIS ST,CHICAGO,IL
ren10,71,,1676,,170993003555,,1,,,,,,,,1,1998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,K-3,1,,UNO Charter School - Octavio Paz Campus (Primary),2651 WEST 23RD ST,CHICAGO,IL
ren10,29,,1623,,170993005797,,1,0,,,,,,,1,2005,,,,,,,1,1,1,1,1,1,1,1,1,K-5,1,,Erie Elementary Charter School,2510 WEST CORTEZ ST,CHICAGO,IL
ren10,2,,,,170993003564,,1,,,,,,,,1,1999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,K-8,1,,Alain Locke Charter Academy,3141 WEST JACKSON BLVD,CHICAGO,IL
