source,ren10_id,wbez_ids,wbez_idn,gci_id,ncessch,selectiveenrollment,charter,closed,turn,other,build_close,C_T,action_yr,multaction,newschool,newschool_yr,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Grades at Capacity,ES,HS,schnam_first,address,city,state
ren10,8,,,,,,1,,,,,,,,1,2005,,,,,,,1,1,1,1,1,1,1,1,1,K-8,1,,Barbara A. Sizemore Academy of Betty Shabazz International Charter School,1540 WEST 84TH ST,CHICAGO,IL
ren10,11,,1588,,170993005896,,1,,,,,,,,1,2006,,,,,,,,1,1,1,1,1,1,1,1,K-8,1,,Catalyst Charter School - Howland,1616 S SPAULDING AV,CHICAGO,IL
ren10,12,,,,,,1,,,,,,,,1,2009,,,,,,,,,,,1,1,1,1,1,K-8,1,,Chicago International Charter School - Altgeld Gardens/Riverdale Campus,13300 SOUTH LANGLEY AV,CHICAGO,IL
ren10,13,,,,,,1,,,,,,,,1,2005,,,,,,,1,1,1,1,1,1,1,1,1,K-8,1,,Chicago International Charter School - Avalon/South Shore Campus,1501 EAST 83RD PL,CHICAGO,IL
ren10,15,,,,,,1,,,,,,,,1,1997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,K-8,1,,Chicago International Charter School - Bucktown Campus,2235 NORTH HAMILTON AV,CHICAGO,IL
ren10,16,,,,,,1,,,,,,,,1,2007,,,,,,,,,1,1,1,1,1,1,1,K-8,1,,Chicago International Charter School - Irving Park Campus,3820 NORTH SPAULDING AV,CHICAGO,IL
ren10,20,,,,,,1,,,,,,,,1,1998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,K-8,1,,Chicago International Charter School - Prairie Campus,11530 SOUTH PRAIRIE AV,CHICAGO,IL
ren10,22,,,,,,1,,,,,,,,1,2001,,,1,1,1,1,1,1,1,1,1,1,1,1,1,K-8,1,,Chicago International Charter School - Washington Park Campus,6105 SOUTH MICHIGAN AV,CHICAGO,IL
ren10,23,,,,,,1,,,,,,,,1,2002,,,,1,1,1,1,1,1,1,1,1,1,1,1,K-8,1,,Chicago International Charter School - West Belden Campus,2245 NORTH MCVICKER AV,CHICAGO,IL
ren10,24,,,,,,1,,,,,,,,1,2005,,,,,,,1,1,1,1,1,1,1,1,1,K-8,1,,Chicago International Charter School - Wrightwood Campus,8130 SOUTH CALIFORNIA AV,CHICAGO,IL
ren10,27,,1589,,170993005681,,1,1,,1,,1,2006 (relocate),,1,2003,,,,,1,1,1,,,,,,,,,K-8,1,,Choir Academy Charter School of Chicago,3737 SOUTH PAULINA ST,CHICAGO,IL
ren10,27,,1589,,170993005681,,1,1,,1,,1,2009,,1,2006,,,,,,,,1,1,1,1,,,,,K-8,1,,Choir Academy Charter School of Chicago,3630 SOUTH WELLS ST,CHICAGO,IL
ren10,30,,1630,,170993005798,,1,0,,,,,,,1,2005,,,,,,,1,1,1,1,1,1,1,1,1,K-8,1,,Galapagos Elementary Charter School,3814 WEST IOWA ST,CHICAGO,IL
ren10,33,,,,,,1,,,,,,,,1,2008,,,,,,,,,,1,1,1,1,1,1,K-8,1,,L.E.A.R.N. Charter School - Excel Campus,2401 WEST CONGRESS PKWY,CHICAGO,IL
ren10,37,,1666,,170993005102,,1,,,,,,,,1,2004,,,,,,1,1,1,1,1,1,1,1,1,1,K-8,1,,Namaste Charter School,3737 SOUTH PAULINA ST,CHICAGO,IL
ren10,39,,,,,,1,,,,,,,,1,2009,,,,,,,,,,,1,1,1,1,1,K-8,1,,Noble Street Charter School - Bain-NUSH Campus,1424 NORTH CLEAVER ST,CHICAGO,IL
ren10,57,,1689,,170993005919,,1,,,,,,,,1,2007,,,,,,,,,1,1,1,1,1,1,1,K-8,1,,Polaris Charter Academy,620 NORTH SAWYER AV,CHICAGO,IL
ren10,58,,1692,,170993005885,,1,,,,,,,,1,2006,,,,,,,,1,1,1,1,1,1,1,1,K-8,1,,Providence Englewood Charter School - Bunche Campus,6515 SOUTH ASHLAND AV,CHICAGO,IL
ren10,65,,,,,,1,,,,,,,,1,2008,,,,,,,,,,1,1,1,1,1,1,K-8,1,,UNO Charter School - Archer Heights Campus North,4248 WEST 47TH ST,CHICAGO,IL
ren10,66,,,,,,1,,,,,,,,1,2008,,,,,,,,,,1,1,1,1,1,1,K-8,1,,UNO Charter School - Archer Heights Campus South,4248 WEST 47TH ST,CHICAGO,IL
ren10,67,,,,,,1,,,,,,,,1,2006,,,,,,,,1,1,1,1,1,1,1,1,K-8,1,,UNO Charter School - Bartolomé de las Casas Campus,1641 WEST 16TH ST,CHICAGO,IL
ren10,68,,,,,,1,,,,,,,,1,2006,,,,,,,,1,1,1,1,1,1,1,1,K-8,1,,UNO Charter School - Carlos Fuentes Campus,2845 WEST BARRY AV,CHICAGO,IL
ren10,69,,,,,,1,,,,,,,,1,2009,,,,,,,,,,,1,1,1,1,1,K-8,1,,UNO Charter School - Gage Park Campus,2744 WEST PERSHING RD,CHICAGO,IL
ren10,72,,,,,,1,,,,,,,,1,2007,,,,,,,,,1,1,1,1,1,1,1,K-8,1,,UNO Charter School - Officer Donald Marquez Campus,2916 WEST 47TH ST,CHICAGO,IL
ren10,73,,,,,,1,,,,,,,,1,2005,,,,,,,1,1,1,1,1,1,1,1,1,K-8,1,,UNO Charter School - Rufino Tamayo Campus,5135 SOUTH CALIFORNIA AV,CHICAGO,IL
ren10,9,,1580,,170993003539,,1,0,,,,,,,1,1999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,K-9,1,,Betty Shabazz International Charter School,7823 SOUTH ELLIS AV,CHICAGO,IL
NCES,,,1603,,170993006311,,1,0,,,,,,,1,2013,,,,,,,,,,,,,,,1,KG-1,1,,CHRISTOPHER HOUSE CHRT ELEMENTARY SCHOOL,5235 WEST BELDEN ST,CHICAGO,IL
NCES,,,472,,170993006243,,1,0,,,,,,,1,2012,,,,,,,,,,,,,,1,1,KG-12,1,1,CATALYST CHARTER - MARIA,6727 SOUTH CALIFORNIA AV,CHICAGO,IL
NCES,,,1631,,170993006035,,1,1,,,,,2009,,1,2008,,,,,,,,,,1,,,,,,KG-6,1,,GLOBAL CITIZENSHIP ELEMENTARY SCHOOL,5101 SOUTH KEELER AV,CHICAGO,IL
NCES,,,1631,,170993006035,,1,,,,,,,,1,2009,,,,,,,,,,,1,1,1,1,1,KG-6,1,,GLOBAL CITIZENSHIP ELEMENTARY SCHOOL,4647 WEST 47TH ST,CHICAGO,IL
NCES,,,1670,,170993006171,,1,1,,,,,2013,,1,2011,,,,,,,,,,,,,1,1,,KG-6,1,,NKRUMAH ACADEMY ELEMENTARY SCHOOL,901 EAST 95TH ST,CHICAGO,IL
NCES,,,1670,,170993006171,,1,0,,,,,,,1,2013,,,,,,,,,,,,,,,1,KG-6,1,,NKRUMAH ACADEMY ELEMENTARY SCHOOL,8524 SOUTH GREEN ST,CHICAGO,IL
NCES,,,1700,,170993006142,,1,0,,,,,,,1,2010,,,,,,,,,,,,1,1,1,1,KG-6,1,,ROWE ELEMENTARY,1424 NORTH CLEAVER ST,CHICAGO,IL
NCES,,,1587,,170993005935,,1,0,,,,,,,1,2007,,,,,,,,,1,1,1,1,1,1,1,KG-8,1,,CATALYST CIRCLE ROCK ELEMENTARY SCHOOL,5600 WEST WASHINGTON BL,CHICAGO,IL
NCES,,,1649,,170993005683,,1,1,,,,,2005,,1,2003,,,,,1,1,,,,,,,,,,KG-8,1,,KIPP ASCEND CHARTER ELEMENTARY SCHOOL,4820 WEST WALTON ST,CHICAGO,IL
NCES,,,1649,,170993005683,,1,0,,,,,,,1,2005,,,,,,,1,1,1,1,1,1,1,1,1,KG-8,1,,KIPP ASCEND CHARTER ELEMENTARY SCHOOL,1616 SOUTH AVRS AV,CHICAGO,IL
