dvm_edit,address_final,address_split?,subtotal,actual00,actual01,actual02,actual03,actual04,actual05,actual06,actual07,actual08,actual09,actual10,actual11,actual12,actual13,actual14,actual15,actual16,actual17,actual18
Grace Abbott Homes,1530-1540 W 13th St,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1530-1540 W Hastings St,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1532 W 15th St,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
Grace Abbott Homes,1534 W 14th Pl,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Harold Ickes Homes,2222 S State St,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0
Harold Ickes Homes,2240-2250 S State St,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0
Harold Ickes Homes,2310 S State St,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0
Harold Ickes Homes,2320-2330 S State St,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0
Harold Ickes Homes,2350 S State St,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0
Harold Ickes Homes,2420-2430 S State St,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0
Harold Ickes Homes,2450 S State St,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0
Harold Ickes Homes,44 W 24th St,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0
Ida B. Wells Homes,3702-3708 S Vincennes Av,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Ida B. Wells Homes,3707-3711 S Dr Martin Luther King Dr,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,3709-3725 S Rhodes Av,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,3709-3725 S Vincennes Av,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,3710-3726 S Vincennes Av,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
Ida B. Wells Homes,3715-3721 S Dr Martin Luther King Dr,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,3723-3731 S Dr Martin Luther King Dr,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,3726 S Cottage Grove Av,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
