dvm_edit,address_final,address_split?,subtotal,actual00,actual01,actual02,actual03,actual04,actual05,actual06,actual07,actual08,actual09,actual10,actual11,actual12,actual13,actual14,actual15,actual16,actual17,actual18
Robert Taylor Homes,4101 S Federal St,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Taylor Homes,4331 S State St,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Taylor Homes,4352 S State St,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Taylor Homes,4410 S State St,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Taylor Homes,4429 S Federal St,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0
Robert Taylor Homes,4444 S State St,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Taylor Homes,4500 S State St,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Taylor Homes,4525 S Federal St,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Taylor Homes,4555 S Federal St,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Taylor Homes,4844 S State St,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Taylor Homes,4845 S Federal St,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Taylor Homes,4848 S State St,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Taylor Homes,4946 S State St,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Taylor Homes,4950 S State St,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Taylor Homes,5100 S State St,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Taylor Homes,5135 S Federal St,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0
Robert Taylor Homes,5201 S Federal St,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Taylor Homes,5247 S Federal St,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Taylor Homes,5266 S State St,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rockwell Gardens,2417 W Adams,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rockwell Gardens,2450 W Monroe St,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0
Rockwell Gardens,2514 W Van Buren St,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
