source,wbez_ids,wbez_idn,gci_id,ncessch,selectiveenrollment,charter,closed,turn,other,build_close,C_T,multaction,newschool,schnam_first,schnam_last,schnam_action,address_first,address_last,address_action,city,state,lzip_action,address_full,tract2000_nces,tract2010_nces,newschool_yr,action_yr,open98,open99,open00,open01,open02,open03,open04,open05,open06,open07,open08,open09,open10,open11,open12,open13,type_all
NCES,,,124,170993000663,0,0,0,0,0,0,0,0,0,CLEVELAND ELEMENTARY SCHOOL,CLEVELAND ELEMENTARY SCHOOL,CLEVELAND ELEMENTARY SCHOOL,3121 WEST BYRON ST,3121 WEST BYRON ST,3121 WEST BYRON ST,CHICAGO,IL,60618,"3121 WEST BYRON ST, CHICAGO, IL 60618",1607,1607,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,464,170993004954,0,0,0,0,0,0,0,0,0,OROZCO ELEMENTARY FINE ARTS & SCIENCES,OROZCO ELEMENTARY FINE ARTS & SCIENCES,OROZCO ELEMENTARY FINE ARTS & SCIENCES,1645 WEST 18TH PL,1940 WEST 18TH ST,1940 WEST 18TH ST,CHICAGO,IL,60608,"1940 WEST 18TH ST, CHICAGO, IL 60608",3109,3109,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,116,170993000697,0,0,0,0,0,0,0,0,0,CHOPIN ELEMENTARY SCHOOL,CHOPIN ELEMENTARY SCHOOL,CHOPIN ELEMENTARY SCHOOL,2450 WEST RICE ST,2450 WEST RICE ST,2450 WEST RICE ST,CHICAGO,IL,60622,"2450 WEST RICE ST, CHICAGO, IL 60622",2425,2425,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,256,170993000819,0,0,0,0,0,0,0,0,0,HALE ELEMENTARY SCHOOL,HALE ELEMENTARY SCHOOL,HALE ELEMENTARY SCHOOL,6140 SOUTH MELVINA AV,6140 SOUTH MELVINA AV,6140 SOUTH MELVINA AV,CHICAGO,IL,60638,"6140 SOUTH MELVINA AVE, CHICAGO, IL 60638",6403,6403,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,24,170993001071,0,0,0,0,0,0,0,0,0,ASHE ELEMENTARY SCHOOL,ASHE ELEMENTARY SCHOOL,ASHE ELEMENTARY SCHOOL,8505 SOUTH INGLESIDE AV,8505 SOUTH INGLESIDE AV,8505 SOUTH INGLESIDE AV,CHICAGO,IL,60619,"8505 SOUTH INGLESIDE AVE, CHICAGO, IL 60619",4401,4401.02,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,483,170993001028,0,0,0,0,0,0,0,0,0,PENN ELEMENTARY SCHOOL,PENN ELEMENTARY SCHOOL,PENN ELEMENTARY SCHOOL,1616 SOUTH AVRS AV,1616 SOUTH AVRS AV,1616 SOUTH AVRS AV,CHICAGO,IL,60623,"1616 SOUTH AVERS AVE, CHICAGO, IL 60623",2924,2924,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,255,170993000745,1,0,0,0,0,0,0,0,0,GUNSAULUS ELEMENTARY SCHOLASTIC ACADEMY,GUNSAULUS ELEMENTARY SCHOLASTIC ACADEMY,GUNSAULUS ELEMENTARY SCHOLASTIC ACADEMY,4420 SOUTH SACRAMENTO AV,4420 SOUTH SACRAMENTO AV,4420 SOUTH SACRAMENTO AV,CHICAGO,IL,60632,"4420 SOUTH SACRAMENTO AVE, CHICAGO, IL 60632",5805,5805.02,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,609,170993001130,0,0,0,0,0,0,0,0,0,TWAIN ELEMENTARY SCHOOL,TWAIN ELEMENTARY SCHOOL,TWAIN ELEMENTARY SCHOOL,5131 SOUTH LINDER AV,5134 SOUTH LOTUS AV,5134 SOUTH LOTUS AV,CHICAGO,IL,60638,"5134 SOUTH LOTUS AVE, CHICAGO, IL 60638",5607,5607,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,586,170993001116,0,0,0,0,0,0,0,0,0,SULLIVAN ELEMENTARY SCHOOL,SULLIVAN ELEMENTARY SCHOOL,SULLIVAN ELEMENTARY SCHOOL,8255 SOUTH HOUSTON AV,8331 SOUTH MACKINAW AV,8331 SOUTH MACKINAW AV,CHICAGO,IL,60617,"8331 SOUTH MACKINAW AVE, CHICAGO, IL 60617",4602,4602,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,398,170993000950,1,0,0,0,0,0,0,0,0,MAYER ELEMENTARY SCHOOL,MAYER ELEMENTARY SCHOOL,MAYER ELEMENTARY SCHOOL,2250 NORTH CLIFTON AV,2250 NORTH CLIFTON AV,2250 NORTH CLIFTON AV,CHICAGO,IL,60614,"2250 NORTH CLIFTON AVE, CHICAGO, IL 60614",710,710,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
