source,wbez_ids,wbez_idn,gci_id,ncessch,selectiveenrollment,charter,closed,turn,other,build_close,C_T,multaction,newschool,schnam_first,schnam_last,schnam_action,address_first,address_last,address_action,city,state,lzip_action,address_full,tract2000_nces,tract2010_nces,newschool_yr,action_yr,open98,open99,open00,open01,open02,open03,open04,open05,open06,open07,open08,open09,open10,open11,open12,open13,type_all
NCES,,,303,170993000971,1,0,0,0,0,0,0,0,0,INTER-AMERICAN ELEMENTARY MAGNET SCHOOL,INTER-AMERICAN ELEMENTARY MAGNET SCHOOL,INTER-AMERICAN ELEMENTARY MAGNET SCHOOL,919 WEST BARRY AV,851 WEST WAVELAND AV,851 WEST WAVELAND AV,CHICAGO,IL,60613,"851 WEST WAVEELAND AVE, CHICAGO, IL 60613",610,610,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,588,170993001117,0,0,0,0,0,0,0,0,0,SUMNER ELEMENTARY MATH & SCI COMM ACADEMY,SUMNER ELEMENTARY MATH & SCI COMM ACADEMY,SUMNER ELEMENTARY MATH & SCI COMM ACADEMY,4320 WEST FIFTH AV,4320 WEST 5TH AV,4320 WEST 5TH AV,CHICAGO,IL,60624,"4320 WEST 5TH AVE, CHICAGO, IL 60624",2610,2610,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,199,170993000762,0,0,0,0,0,0,0,0,0,FARADAY ELEMENTARY SCHOOL,FARADAY ELEMENTARY SCHOOL,FARADAY ELEMENTARY SCHOOL,3250 WEST MONROE ST,3250 WEST MONROE ST,3250 WEST MONROE ST,CHICAGO,IL,60624,"3250 WEST MONROE ST, CHICAGO, IL 60624",2713,2713,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,288,170993000879,0,0,0,0,0,0,0,0,0,HIRSCH METROPOLITAN HIGH SCHOOL,HIRSCH METROPOLITAN HIGH SCHOOL,HIRSCH METROPOLITAN HIGH SCHOOL,7740 SOUTH INGLESIDE AV,7740 SOUTH INGLESIDE AV,7740 SOUTH INGLESIDE AV,CHICAGO,IL,60619,"7740 SOUTH INGLESIDE AVE, CHICAGO, IL 60619",6915,6915,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,HS
NCES,,,,170993000693,0,0,0,0,0,0,0,0,0,COOK COUNTY DEPT OF CORR HIGH SCHOOL,YORK ALTERNATIVE HIGH SCHOOL,YORK ALTERNATIVE HIGH SCHOOL,2700 SOUTH CALIFORNIA AV,2700 SOUTH CALIFORNIA AV,2700 SOUTH CALIFORNIA AV,CHICAGO,IL,60608,"2700 SOUTH CALIFORNIA AVE, CHICAGO, IL 60608",3013,8435,,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,HS
NCES,,,362,170993001214,0,0,0,0,0,0,0,0,0,LEE ELEMENTARY SCHOOL,LEE ELEMENTARY SCHOOL,LEE ELEMENTARY SCHOOL,6448 SOUTH TRIPP AV,6448 SOUTH TRIPP AV,6448 SOUTH TRIPP AV,CHICAGO,IL,60629,"6448 SOUTH TRIPP AVE, CHICAGO, IL 60629",6503,6503.01,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,643,170993001155,0,0,0,0,0,0,0,0,0,WHISTLER ELEMENTARY SCHOOL,WHISTLER ELEMENTARY SCHOOL,WHISTLER ELEMENTARY SCHOOL,11533 SOUTH ADA ST,11533 SOUTH ADA ST,11533 SOUTH ADA ST,CHICAGO,IL,60643,"11533 SOUTH ADA ST, CHICAGO, IL 60643",5303,5303,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,,170993000671,0,0,0,0,0,0,0,0,0,CARVER AREA HIGH SCHOOL,CARVER MILITARY ACADEMY HIGH SCHOOL,CARVER MILITARY ACADEMY HIGH SCHOOL,13100 SOUTH DOTY WEST AV,13100 SOUTH DOTY AV,13100 SOUTH DOTY AV,CHICAGO,IL,60827,"13100 SOUTH DOTY AVE, CHICAGO, IL 60827",5401,5401.01,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,HS
NCES,,,249,170993000807,0,0,0,0,0,0,0,0,0,GREGORY ELEMENTARY SCHOOL,GREGORY MATH & SCI ELEMENTARY ACADEMY,GREGORY MATH & SCI ELEMENTARY ACADEMY,3715 WEST POLK ST,3715 WEST POLK ST,3715 WEST POLK ST,CHICAGO,IL,60624,"3715 WEST POLK ST, CHICAGO, IL 60624",2705,2705,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,497,170993001213,0,0,0,0,0,0,0,0,0,POWELL ELEMENTARY SCHOOL,POWELL ELEMENTARY PAIDEIA COMM ACADEMY,POWELL ELEMENTARY PAIDEIA COMM ACADEMY,7530 SOUTH SOUTH SHORE,7511 SOUTH SHORE DR,7511 SOUTH SOUTH SHORE DR,CHICAGO,IL,60649,"7511 SOUTH SOUTH SHORE DR, CHICAGO, IL 60649",4314,4314,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,191,170993000753,0,0,0,0,0,0,0,0,0,ESMOND ELEMENTARY SCHOOL,ESMOND ELEMENTARY SCHOOL,ESMOND ELEMENTARY SCHOOL,1865 WEST MONTVALE AV,1865 WEST MONTVALE AV,1865 WEST MONTVALE AV,CHICAGO,IL,60643,"1865 WEST MONTVALE AVE, CHICAGO, IL 60643",7505,7505,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,391,170993000389,0,0,0,0,0,0,0,0,0,MARSHALL MIDDLE SCHOOL,MARSHALL MIDDLE SCHOOL,MARSHALL MIDDLE SCHOOL,3900 NORTH LAWNDALE AV,3900 NORTH LAWNDALE AV,3900 NORTH LAWNDALE AV,CHICAGO,IL,60618,"3900 NORTH LAWNDALE AVE, CHICAGO, IL 60618",1609,1609,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,MS
NCES,,,65,170993000618,0,0,0,0,0,0,0,0,0,BRIDGE ELEMENTARY SCHOOL,BRIDGE ELEMENTARY SCHOOL,BRIDGE ELEMENTARY SCHOOL,3800 NORTH NEW ENGLAND,3800 NORTH NEW ENGLAND AV,3800 NORTH NEW ENGLAND AV,CHICAGO,IL,60634,"3800 NORTH NEW ENGLAND AVE, CHICAGO, IL 60634",1703,1703,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
