dvm_edit,address_final,address_split?,subtotal,actual00,actual01,actual02,actual03,actual04,actual05,actual06,actual07,actual08,actual09,actual10,actual11,actual12,actual13,actual14,actual15,actual16,actual17,actual18
Ida B. Wells Homes,574 E 36th St,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,575 E Browning Av,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,579-585 E 37th St,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,587-597 E 37th St,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,600 E 39th St,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,601 E 37th Pl,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,601 E 38th Pl,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,601 E 38th St,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,605-621 E 37th Pl,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,606 E 38th Pl,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,606 E 38th St,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,609 E 38th St,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,610-616 E 37th Pl,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,612 E 39th St,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,617 E 38th Pl,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,618 E 38th Pl,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida B. Wells Homes,618-620 E 38th St,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
