source,wbez_ids,wbez_idn,gci_id,ncessch,selectiveenrollment,charter,closed,turn,other,build_close,C_T,multaction,newschool,schnam_first,schnam_last,schnam_action,address_first,address_last,address_action,city,state,lzip_action,address_full,tract2000_nces,tract2010_nces,newschool_yr,action_yr,open98,open99,open00,open01,open02,open03,open04,open05,open06,open07,open08,open09,open10,open11,open12,open13,type_all
NCES,,,77,170993000627,0,0,0,0,0,0,0,0,0,BURBANK ELEMENTARY SCHOOL,BURBANK ELEMENTARY SCHOOL,BURBANK ELEMENTARY SCHOOL,2035 NORTH MOBILE AV,2035 NORTH MOBILE AV,2035 NORTH MOBILE AV,CHICAGO,IL,60639,"2035 NORTH MOBILE AVE, CHICAGO, IL 60639",1913,1913.01,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,423,170993000970,0,0,0,0,0,0,0,0,0,MORRILL ELEMENTARY MATH & SCI SCHOOL,MORRILL ELEMENTARY MATH & SCI SCHOOL,MORRILL ELEMENTARY MATH & SCI SCHOOL,6011 SOUTH ROCKWELL ST,6011 SOUTH ROCKWELL ST,6011 SOUTH ROCKWELL ST,CHICAGO,IL,60629,"6011 SOUTH ROCKWELL ST, CHICAGO, IL 60629",6602,8350,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,260,170993000823,0,0,0,0,0,0,0,0,0,HAMLINE ELEMENTARY SCHOOL,HAMLINE ELEMENTARY SCHOOL,HAMLINE ELEMENTARY SCHOOL,4747 SOUTH BISHOP ST,4747 SOUTH BISHOP ST,4747 SOUTH BISHOP ST,CHICAGO,IL,60609,"4747 SOUTH BISHOP ST, CHICAGO, IL 60609",6112,6112,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,386,170993000937,0,0,0,0,0,0,0,0,0,MANN ELEMENTARY SCHOOL,MANN ELEMENTARY SCHOOL,MANN ELEMENTARY SCHOOL,8050 SOUTH CHAPPEL AV,8050 SOUTH CHAPPEL AV,8050 SOUTH CHAPPEL AV,CHICAGO,IL,60617,"8050 SOUTH CHAPPEL AVE, CHICAGO, IL 60617",4605,4605,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,224,170993000783,1,0,0,0,0,0,0,0,0,GALLISTEL ELEMENTARY LANGUAGE ACADEMY,GALLISTEL ELEMENTARY LANGUAGE ACADEMY,GALLISTEL ELEMENTARY LANGUAGE ACADEMY,10347 SOUTH EWING AV,10347 SOUTH EWING AV,10347 SOUTH EWING AV,CHICAGO,IL,60617,"10347 SOUTH EWING AVE, CHICAGO, IL 60617",5204,5204,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,135,170993001072,0,0,0,0,0,0,0,0,0,CORLISS HIGH SCHOOL,CORLISS HIGH SCHOOL,CORLISS HIGH SCHOOL,821 EAST 103RD ST,821 EAST 103RD ST,821 EAST 103RD ST,CHICAGO,IL,60628,"821 EAST 103RD ST, CHICAGO, IL 60628",5002,5002,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,HS
NCES,,,94,170993000652,0,0,0,0,0,0,0,0,0,CARROLL ELEMENTARY SCHOOL,CARROLL ELEMENTARY SCHOOL,CARROLL ELEMENTARY SCHOOL,2929 WEST 83RD ST,2929 WEST 83RD ST,2929 WEST 83RD ST,CHICAGO,IL,60652,"2929 WEST 83RD ST, CHICAGO, IL 60652",7005,7005.02,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,272,170993000834,0,0,0,0,0,0,0,0,0,HAYT ELEMENTARY SCHOOL,HAYT ELEMENTARY SCHOOL,HAYT ELEMENTARY SCHOOL,1518 WEST GRANVILLE AV,1518 WEST GRANVILLE AV,1518 WEST GRANVILLE AV,CHICAGO,IL,60660,"1518 WEST GRANVILLE AVE, CHICAGO, IL 60660",302,302,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,61,170993000612,0,0,0,0,0,0,0,0,0,BOONE ELEMENTARY SCHOOL,BOONE ELEMENTARY SCHOOL,BOONE ELEMENTARY SCHOOL,6710 NORTH WASHTENAW AV,6710 NORTH WASHTENAW AV,6710 NORTH WASHTENAW AV,CHICAGO,IL,60645,"6710 NORTH WASHTENAW AVE, CHICAGO, IL 60645",206,206.01,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
NCES,,,449,170993000994,0,0,0,0,0,0,0,0,0,NIXON ELEMENTARY SCHOOL,NIXON ELEMENTARY SCHOOL,NIXON ELEMENTARY SCHOOL,2121 NORTH KEELER AV,2121 NORTH KEELER AV,2121 NORTH KEELER AV,CHICAGO,IL,60639,"2121 NORTH KEELER AVE, CHICAGO, IL 60639",2004,2004.02,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ES
