,source,wbez_ids,wbez_idn,gci_id,ncessch,selectiveenrollment,charter,closed,turn,other,build_close,C_T,multaction,newschool,schnam_first,schnam_last,schnam_action,address_first,address_last,address_action,city,state,lzip_action,address_full,tract2000_nces,tract2010_nces,newschool_yr,action_yr,open98,open99,open00,open01,open02,open03,open04,open05,open06,open07,open08,open09,open10,open11,open12,open13,type_all,location,point,latitude,longitude,geometry,actual00,actual01,actual02,actual03,actual04,actual05,actual06,actual07,actual08,actual09,actual10,actual11,actual12,actual13,actual14,actual15,actual16,actual17,actual18,actualtotal,address_final,address_full,city,state,dvm_edit,location,point,latitude,longitude,dist
10,NCES,,,325.0,1.71E+11,0,0,0,0,1,0,0,0,0,HOPE ELEMENTARY COMMUNITY ACADEMY,HOPE COLLEGE PREP HIGH SCHOOL,JOHN HOPE COLLEGE PREPARATORY HIGH SCHOOL,5515 SOUTH LOWE AV,5515 SOUTH LOWE AV,5515 SOUTH LOWE AV,CHICAGO,IL,60621,"5515 SOUTH LOWE AVE, CHICAGO, IL 60621",6803,8347.0,,2002.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,HS,"South Lowe Avenue, Becks Park, Englewood, Chicago, Cook County, Illinois, 60621, United States of America","41.7670751, -87.6407854",41.7670751,-87.6407854,POINT (446738.4595087647 4624113.758851835),0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,,3841 S Vincennes Av,"3841 S Vincennes Av, Chicago, IL",Chicago,IL,Ida B. Wells Homes,"South Vincennes Avenue, Park Manor, Greater Grand Crossing, Chicago, Cook County, Illinois, 60620, United States of America","41.7674384, -87.6270546",41.767438399999996,-87.6270546,1142.0381017831833
11,NCES,,,,1.71E+11,0,0,1,0,0,0,1,0,0,RECOVERING THE GIFTED CHILD ELEMENTARY,RECOVERING THE GIFTED CHILD ELEMENTARY,RECOVERING THE GIFTED CHILD ELEMENTARY,3030 WEST ARTHINGTON ST,2221 SOUTH LAWNDALE AV,2221 SOUTH LAWNDALE AV,CHICAGO,IL,60623,"2221 SOUTH LAWNDALE AVE, CHICAGO, IL 60623",3006,3006.0,,2003.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,MS,"Paderewski Elementary School, 2221, South Lawndale Avenue, North Lawndale, Chicago, Cook County, Illinois, 60623, United States of America","41.8511436, -87.7169991",41.8511436,-87.7169991,POINT (440481.4763320888 4633497.560293153),0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1224 W Roosevelt Rd,"1224 W Roosevelt Rd, Chicago, IL",Chicago,IL,Jane Addams Homes,"West Roosevelt Road, North Lawndale, Chicago, Cook County, Illinois, 60624, United States of America","41.8662079, -87.7225376",41.8662079,-87.7225376,1734.6314496335817
12,NCES,4.0,,,1.71E+11,0,0,1,0,0,0,1,0,0,ARTS OF LIVING ALTERNATIVE HIGH SCHOOL,ARTS OF LIVING ALTERNATIVE HIGH SCHOOL,ARTS OF LIVING ALTERNATIVE HIGH SCHOOL,721 NORTH LASALLE DR,1855 NORTH SHEFFIELD AV,1855 NORTH SHEFFIELD AV,CHICAGO,IL,60614,"1855 NORTH SHEFFIELD AVE, CHICAGO, IL 60614",719,8326.0,,2003.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,HS,"1855, North Sheffield Avenue, Chicago River North, Lincoln Park, Chicago, Cook County, Illinois, 60614, United States of America","41.915542, -87.653169",41.915542,-87.653169,POINT (445834.497382681 4640605.273975839),0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,,1340 N Larrabee St,"1340 N Larrabee St, Chicago, IL",Chicago,IL,William Green Homes,"1340, North Larrabee Street, Chicago River North, Near North Side, Chicago, Cook County, Illinois, 60610, United States of America","41.90564317650747, -87.64338600864538",41.90564318,-87.64338601,1366.1200798887005
13,NCES,,,,1.71E+11,0,0,1,0,0,0,1,0,0,HIGH SCHOOL TRANSITITION CENTER A,RODRIGUEZ ACADEMY PREPARATION CT,RODRIGUEZ ACADEMY PREPARATION CT,630 WEST IRVING PARK RD,5900 NORTH GLENWOOD AV,5900 NORTH GLENWOOD AV,CHICAGO,IL,60660,"5900 NORTH GLENWOOD AVE, CHICAGO, IL 60660",305,305.0,,2003.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,HS,"Nicholas Senn High School, 5900, North Glenwood Avenue, Edgewater Glen, Edgewater, Chicago, Cook County, Illinois, 60660, United States of America","41.988987, -87.6667677818856",41.988987,-87.66676778188558,POINT (444770.2245827672 4648768.457855179),0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,,1340 N Larrabee St,"1340 N Larrabee St, Chicago, IL",Chicago,IL,William Green Homes,"1340, North Larrabee Street, Chicago River North, Near North Side, Chicago, Cook County, Illinois, 60610, United States of America","41.90564317650747, -87.64338600864538",41.90564318,-87.64338601,9454.594836723862
14,NCES,,,,1.71E+11,0,0,1,0,0,0,1,0,0,STUDENT BUILDERS CHARTER HIGH SCHOOL,PARTEE ACADEMY PREPARATION CENTER,PARTEE ACADEMY PREPARATION CENTER,3301 WEST FRANKLIN BL,8101 SOUTH LA SALLE ST,8101 SOUTH LASALLE ST,CHICAGO,IL,60620,"8101 SOUTH LASALLE ST, CHICAGO, IL 60620",4404,8424.0,,2003.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,HS,"South LaSalle Street, Loop, Chicago, Cook County, Illinois, 60696, United States of America","41.8791456, -87.6322586",41.8791456,-87.6322586,POINT (447538.7670025357 4636551.273873079),0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1240 W Roosevelt Rd,"1240 W Roosevelt Rd, Chicago, IL",Chicago,IL,Jane Addams Homes,"West Roosevelt Road, Greektown, Near West Side, Chicago, Cook County, Illinois, 60607, United States of America","41.8672794, -87.6423234",41.8672794,-87.64232340000001,1559.9433978863005
15,NCES,,,,1.71E+11,0,0,1,0,0,0,1,0,0,HIGH SCHOOL TRANSITION CENTER D,SENGSTACKE ACADEMY PREPARATION C,SENGSTACKE ACADEMY PREPARATION C,2641 SOUTH CALUMET,2641 SOUTH CALUMET AV,2641 SOUTH CALUMET AV,CHICAGO,IL,60616,"2641 SOUTH CALUMET AVE, CHICAGO, IL 60616",3502,8392.0,,2003.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,HS,"2641, South Calumet Avenue, South Park Plaza, Douglas, Chicago, Cook County, Illinois, 60616, United States of America","41.84443435, -87.61837744283874",41.84443435,-87.6183774428387,POINT (448662.7935310446 4632688.999789421),0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2822 S Calumet Av,"2822 S Calumet Av, Chicago, IL",Chicago,IL,Prairie Courts Extension,"2822, South Calumet Avenue, South Park Plaza, Douglas, Chicago, Cook County, Illinois, 60616, United States of America","41.842568, -87.618892",41.842568,-87.618892,211.5774853474585
16,NCES,,,,1.71E+11,0,0,1,0,0,0,1,0,0,HIGH SCHOOL TRANSITION CENTER B,HARVEY ACADEMY PREPARATION CENTER,HARVEY ACADEMY PREPARATION CENTER,2250 NORTH MCVICKER AV,730 NORTH PULASKI RD,730 NORTH PULASKI RD #8,CHICAGO,IL,60624,"730 NORTH PULASKI RD, CHICAGO, IL 60624",2314,8421.0,,2003.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,HS,"730, North Pulaski Road, Humboldt Park, Chicago, Cook County, Illinois, 60624, United States of America","41.8941562, -87.7268669848285",41.8941562,-87.72686698482849,POINT (439702.7730725784 4638280.023059447),0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,,714 W Division St,"714 W Division St, Chicago, IL",Chicago,IL,William Green Homes,"West Division Street, Moreland, Austin, Chicago, Cook County, Illinois, 60651, United States of America","41.9024164, -87.7424231",41.9024164,-87.7424231,1583.1500948599044
17,NCES,,,,1.71E+11,0,0,1,0,0,0,1,0,0,TESLA ALT HIGH SCHOOL FOR PREG GIRLS,TESLA ALT HIGH SCHOOL FOR PREG GIRLS,TESLA ALT HIGH SCHOOL FOR PREG GIRLS,6657 SOUTH KIMBARK AV,6657 SOUTH KIMBARK AV,6657 SOUTH KIMBARK AV,CHICAGO,IL,60637,"6657 SOUTH KIMBARK AVE, CHICAGO, IL 60637",4210,8344.0,,2003.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,HS,"6657, South Kimbark Avenue, Woodlawn, Chicago, Cook County, Illinois, 60637, United States of America","41.77377165, -87.59416360499378",41.77377165,-87.59416360499371,POINT (450618.7764293208 4624829.424506069),0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,,3740 S Cottage Grove Ave,"3740 S Cottage Grove Ave, Chicago, IL",Chicago,IL,Ida B. Wells Homes,"South Cottage Grove Avenue, Washington Park, Chicago, Cook County, Illinois, 60637, United States of America","41.7862906, -87.6060534",41.7862906,-87.60605340000001,1705.3769886803752
18,NCES,,,,1.71E+11,0,0,1,0,0,0,1,0,0,HIGH SCHOOL TRANSITION CENTER E,HAYES ACADEMY PREPARATION CENTER,HAYES ACADEMY PREPARATION CENTER,6800 SOUTH STEWART AV,6533 SOUTH STEWART AV,6533 SOUTH STEWART AV,CHICAGO,IL,60621,"6533 SOUTH STEWART AVE, CHICAGO, IL 60621",6809,6809.0,,2003.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,HS,"6533, South Stewart Avenue, Becks Park, Englewood, Chicago, Cook County, Illinois, 60621, United States of America","41.7755057, -87.63447577603672",41.7755057,-87.6344757760367,POINT (447269.8176567735 4625045.879990928),0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4946 S State St,"4946 S State St, Chicago, IL",Chicago,IL,Robert Taylor Homes,"South State Street, Park Manor, Greater Grand Crossing, Chicago, Cook County, Illinois, 60621, United States of America","41.774062, -87.6252276",41.774062,-87.6252276,785.1684376187953
19,NCES,5.0,,429.0,1.71E+11,0,0,1,0,0,0,1,0,0,MUNOZ MARIN PRIMARY CENTER,MUNOZ MARIN PRIMARY CENTER,MUNOZ MARIN PRIMARY CENTER,3320 WEST EVERGREEN AV,3320 WEST EVERGREEN AV,3320 WEST EVERGREEN AV,CHICAGO,IL,60651,"3320 WEST EVERGREEN AVE, CHICAGO, IL 60651",2309,2309.0,,2003.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,ES,"3312-3320, West Evergreen Avenue, Beat 2535, Humboldt Park, Chicago, Cook County, Illinois, 60651, United States of America","41.905796499999994, -87.71018641823045",41.9057964999999,-87.7101864182304,POINT (441097.2156448167 4639560.832331642),0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,,714 W Division St,"714 W Division St, Chicago, IL",Chicago,IL,William Green Homes,"West Division Street, Moreland, Austin, Chicago, Cook County, Illinois, 60651, United States of America","41.9024164, -87.7424231",41.9024164,-87.7424231,2700.0987990009307
