id,school,school_short,school_full,network,type,address,city,state,zip,comarea,ward,ward1,ward2,ward3,ward4,ward5,ward6,ward7,ward8,ward9,ward10,ward11,ward12,ward13,ward14,ward15,ward16,ward17,ward18,ward19,ward20,ward21,ward22,ward23,ward24,ward25,ward26,ward27,ward28,ward29,ward30,ward31,ward32,ward33,ward34,ward35,ward36,ward37,ward38,ward39,ward40,ward41,ward42,ward43,ward44,ward45,ward46,ward47,ward48,ward49,ward50,tract2000,tract2010,selective,closed_turn,closed,yr_action,closed00,closed01,closed02,closed03,closed04,closed05,closed06,closed07,closed08,closed09,closed10,closed11,closed12,closed13,closedturn00,closedturn01,closedturn02,closedturn03,closedturn04,closedturn05,closedturn06,closedturn07,closedturn08,closedturn09,closedturn10,closedturn11,closedturn12,closedturn13,bage2000,bage2010,yrbuilt,a2a_ur2012,a2a_ur2006,tif2000,tif2010,dist_charter,dist_new,dist_cbd,ayp2004,ayp2005,ayp2006,ayp2007,ayp2008,ayp2009,ayp2010,ayp2011,ayp2012,ayp2013,pmec2001,pmec2010,probation2011,cen9906,enroll2006,cen062012,pli_2012,pw_1990,pw_2000,pw_2010,pb_1990,pb_2000,pb_2010,pl_1990,pl_2000,pl_2010,pa_1990,pa_2000,pa_2010,sapop90ct,sapop00ct,sapop10ct,csapop9000,pcsapop9000,pcsapop0010,bp00ct,bp10ct,cbp0010ct,mfi_1990ct,mfi_2000ct,mfi_2010ct,mhv1990ct,mhv2000ct,mhv2010ct,pcmhv9000,pcmhv0010
426,Mount Vernon ES,MOUNT VERNON,Mount Vernon Elementary School,Rock Island Elementary Network,ES,10540 S Morgan St,Chicago,IL,60643,WASHINGTON HEIGHTS,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7307,7307,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,42,1968,0.53,0.68,0,0,0.60,0.77,12.43,1,1,1,1,1,1,1,1,1,1,19.3,72.1,0,-0.03,390,-0.26,97.6,,0,0,,0.994,0.991,,0.006,0.006,,0,0,692.000,727,638,35,0.051,-0.122,0.99,0.98,-0.01,31647.00,38750.00,43571,61300.000,85900.00,147000,0.401305049,0.7112922
432,Myra Bradwell Elementary,BRADWELL,Myra Bradwell Communications Arts & Sciences Elementary School,AUSL Schools,ES,7736 S Burnham Ave,Chicago,IL,60649,SOUTH SHORE,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4313,4313.02,0,1,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,105,115,1895,1.05,1.21,0,0,0.78,1.04,9.46,1,1,1,1,1,1,1,1,1,1,26.5,52.3,NA,-0.30,909,-1.00,98.6,0,0,0,0.998,1,0.997,0.002,0,0.003,0,0,0,1655.864,1728,1180,73,0.044,-0.317,0.98,0.97,-0.01,18833.00,20167.00,21750,54299.998,94200.00,182000,0.734806642,0.932059489
256,Hale ES,HALE,Nathan Hale Elementary School,Midway Elementary Network,ES,6140 S Melvina,Chicago,IL,60638,CLEARING,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6403,6403,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,57,1953,1.96,1.98,0,0,0.00,0.00,10.39,1,0,0,1,1,1,1,1,1,1,61.6,84.6,0,-0.10,891,-0.03,76.8,0.548,0.638,0.334,0.166,0.034,0.014,0.212,0.298,0.628,0.05,0.024,0.016,1104.000,1398,1675,294,0.266,0.198,0.00,0.01,0.01,32825.00,49859.00,59181,85900.000,140000.00,243000,0.629802094,0.735714286
434,Nathan R Goldblatt Elementary School,GOLDBLATT,Nathan R Goldblatt Elementary School,Garfield-Humboldt Elementary Network,ES,4257 W Adams St,Chicago,IL,60624,WEST GARFIELD PARK,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2606,2606,0,1,1,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,69,1941,0.36,0.57,0,0,0.29,1.55,5.42,1,1,1,1,1,1,1,1,1,0,32.2,66.6,1,-0.27,371,-0.28,99.3,0,0,0,0.999,0.999,0.996,0,0,0.004,0.001,0,0,1335.143,1273,799,-62,-0.047,-0.372,0.99,0.97,-0.02,17455.60,26094.81,22727,40079.885,120152.94,277000,1.997836401,1.305395121
146,"Davis, N ES","DAVIS, N",Nathan S Davis Elementary School,Pershing Elementary Network,ES,3014 W 39th Pl,Chicago,IL,60632,BRIGHTON PARK,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5805,5805.01,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,105,1905,1.09,1.85,0,0,0.28,0.63,5.57,1,1,1,1,1,1,1,1,1,1,30.7,69.1,0,-0.25,1664,-0.38,91.5,0.223,0.076,0.015,0.011,0.003,0.006,0.763,0.92,0.975,0.001,0,0.003,881.119,1850,1657,969,1.100,-0.104,0.01,0.02,0.01,25134.00,36440.00,40997,58600.000,136700.00,228000,1.332764494,0.667885894
248,Greene ES,GREENE,Nathanael Greene Elementary School,Pershing Elementary Network,ES,3525 S Honore,Chicago,IL,60609,MCKINLEY PARK,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5906,5906,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,1998,1.13,1.13,1,0,0.34,1.52,4.24,1,0,0,0,0,0,0,1,1,1,45.9,72.8,0,-0.18,622,0.01,95.6,0.309,0.153,0.065,0.007,0.001,0.009,0.679,0.8,0.913,0.005,0.044,0.012,947.000,1132,1070,185,0.195,-0.055,0.01,0.02,0.01,26069.00,34500.00,41932,51300.000,118300.00,227100,1.306042887,0.919695689
435,Nathaniel Pope ES,POPE,Nathaniel Pope Elementary School,Austin-North Lawndale Elementary Network,ES,1852 S Albany Ave,Chicago,IL,60623,NORTH LAWNDALE,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2917,8431,0,1,1,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,82,92,1918,0.41,0.39,0,0,0.29,2.15,4.25,1,1,1,0,0,0,0,0,1,0,17.9,57.6,1,0.08,175,0.14,97.6,0.005,0,0,0.585,0.894,0.96,0.41,0.106,0.04,0,0,0,1020.000,840,541,-180,-0.176,-0.356,0.95,0.91,-0.03,14848.48,13246.18,33750,77945.737,96070.54,247000,0.232531078,1.571027426
558,Simeon HS,SIMEON HS,Neal F Simeon Career Academy High School,South Side High School Network,HS,8147 S Vincennes Ave,Chicago,IL,60620,CHATHAM,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4404,8424,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,7,2003,1.14,1.22,1,1,0.88,0.09,9.41,1,1,1,1,1,1,1,1,1,1,19,14,1,0.51,1570,-0.02,92.2,0,0,0.001,1,1,0.995,0,0,0.004,0,0,0.001,912.000,894,725,-18,-0.020,-0.189,0.99,0.97,-0.02,30608.00,40604.59,35426,63800.000,95099.67,171100,0.490590489,0.799164963
40,Bateman ES,BATEMAN,Newton Bateman Elementary School,O'Hare Elementary Network,ES,4220 N Richmond St,Chicago,IL,60618,IRVING PARK,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1606,1606.01,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,94,1916,1.22,1.16,0,0,0.65,0.99,6.50,0,0,0,0,0,0,0,1,1,1,42.2,78,0,-0.06,984,0.03,92.7,0.334,0.142,0.096,0.03,0.037,0.031,0.524,0.726,0.801,0.107,0.089,0.07,968.950,1163,825,194,0.200,-0.290,0.03,0.04,0.01,25682.00,43523.00,50511,92300.002,176700.00,394300,0.914409453,1.231465797
445,Nicholson  ES,NICHOLSON TECH ACAD,Nicholson Technology Academy,Englewood-Gresham Elementary Network,ES,6006 S Peoria St,Chicago,IL,60621,ENGLEWOOD,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6807,8348,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,52,1958,0.61,0.60,1,1,0.65,1.18,6.78,1,1,1,1,1,1,1,1,1,1,28,70.2,0,-0.01,468,-0.01,98.7,,0,0.002,,1,0.994,,0,0.004,,0,0,1204.000,983,513,-221,-0.184,-0.478,0.98,0.98,0.00,12418.61,19663.91,17434,39834.595,69221.81,124800,0.737731045,0.802899928
